# cmd=/home/david/dev/mricom/bin/analogdaq args=NULL Mricom v0.1
# timestamp=2020-06-18 19:21:09.786924
TIME	RESP	PULSOX	ECG
1.300	-0.088	-0.014	-0.098
1.305	-0.088	-0.014	-0.097
1.310	-0.087	-0.013	-0.097
1.315	-0.086	-0.013	-0.096
1.320	-0.086	-0.012	-0.095
1.325	-0.085	-0.012	-0.094
1.330	-0.085	-0.011	-0.094
1.335	-0.084	-0.010	-0.093
1.340	-0.083	-0.010	-0.093
1.345	-0.083	-0.009	-0.092
1.350	-0.082	-0.008	-0.091
1.355	-0.081	-0.007	-0.090
1.360	-0.081	-0.007	-0.090
1.365	-0.080	-0.007	-0.089
1.370	-0.079	-0.006	-0.089
1.375	-0.079	-0.005	-0.088
1.380	-0.078	-0.005	-0.088
1.385	-0.077	-0.004	-0.087
1.390	-0.077	-0.004	-0.087
1.395	-0.076	-0.003	-0.086
1.400	-0.076	-0.002	-0.085
1.405	-0.076	-0.002	-0.084
1.410	-0.074	-0.001	-0.084
1.415	-0.074	-0.000	-0.084
1.420	-0.073	0.000	-0.083
1.425	-0.073	0.000	-0.083
1.430	-0.072	0.001	-0.081
1.435	-0.072	0.001	-0.081
1.440	-0.071	0.002	-0.080
1.445	-0.071	0.003	-0.080
1.450	-0.070	0.003	-0.080
1.455	-0.070	0.004	-0.079
1.460	-0.069	0.004	-0.078
1.465	-0.069	0.005	-0.078
1.470	-0.069	0.005	-0.077
1.475	-0.068	0.006	-0.077
1.480	-0.067	0.006	-0.076
1.485	-0.067	0.007	-0.076
1.490	-0.065	0.007	-0.075
1.495	-0.066	0.008	-0.075
1.500	-0.065	0.008	-0.074
1.505	-0.065	0.009	-0.074
1.510	-0.064	0.009	-0.074
1.515	-0.064	0.010	-0.073
1.520	-0.063	0.011	-0.072
1.525	-0.062	0.011	-0.072
1.530	-0.062	0.011	-0.072
1.535	-0.061	0.012	-0.071
1.540	-0.061	0.012	-0.070
1.545	-0.061	0.013	-0.070
1.550	-0.060	0.013	-0.069
1.555	-0.060	0.014	-0.069
1.560	-0.059	0.014	-0.069
1.565	-0.059	0.015	-0.068
1.570	-0.058	0.015	-0.068
1.575	-0.058	0.016	-0.067
1.580	-0.058	0.016	-0.067
1.585	-0.057	0.016	-0.067
1.590	-0.057	0.017	-0.066
1.595	-0.056	0.017	-0.065
1.600	-0.055	0.018	-0.065
1.605	-0.055	0.018	-0.065
1.610	-0.055	0.019	-0.065
1.615	-0.054	0.019	-0.064
1.620	-0.054	0.020	-0.063
1.625	-0.054	0.020	-0.063
1.630	-0.053	0.020	-0.063
1.635	-0.053	0.021	-0.062
1.640	-0.052	0.021	-0.062
1.645	-0.052	0.021	-0.062
1.650	-0.051	0.022	-0.061
1.655	-0.051	0.022	-0.061
1.660	-0.050	0.023	-0.061
1.665	-0.051	0.022	-0.061
1.670	-0.050	0.024	-0.060
1.675	-0.050	0.024	-0.059
1.680	-0.050	0.025	-0.058
1.685	-0.049	0.025	-0.058
1.690	-0.049	0.025	-0.058
1.695	-0.048	0.025	-0.058
1.700	-0.048	0.025	-0.057
1.705	-0.047	0.026	-0.057
1.710	-0.047	0.026	-0.057
1.715	-0.047	0.026	-0.056
1.720	-0.046	0.028	-0.056
1.725	-0.046	0.028	-0.055
1.730	-0.045	0.028	-0.055
1.735	-0.045	0.028	-0.055
1.740	-0.045	0.029	-0.055
1.745	-0.045	0.029	-0.054
1.750	-0.044	0.029	-0.054
1.755	-0.044	0.029	-0.054
1.760	-0.043	0.030	-0.053
1.765	-0.043	0.030	-0.053
1.770	-0.043	0.030	-0.053
1.775	-0.043	0.031	-0.052
1.780	-0.042	0.031	-0.052
1.785	-0.042	0.032	-0.052
1.790	-0.042	0.032	-0.051
1.795	-0.041	0.032	-0.051
1.800	-0.041	0.033	-0.051
1.805	-0.040	0.033	-0.050
1.810	-0.040	0.033	-0.050
1.815	-0.040	0.033	-0.050
1.820	-0.040	0.034	-0.049
1.825	-0.039	0.034	-0.049
1.830	-0.039	0.034	-0.049
1.835	-0.039	0.035	-0.048
1.840	-0.039	0.035	-0.048
1.845	-0.038	0.035	-0.048
1.850	-0.038	0.035	-0.048
1.855	-0.038	0.036	-0.047
1.860	-0.037	0.036	-0.047
1.865	-0.037	0.036	-0.047
1.870	-0.037	0.036	-0.046
1.875	-0.037	0.037	-0.047
1.880	-0.036	0.037	-0.045
1.885	-0.036	0.037	-0.046
1.890	-0.036	0.037	-0.046
1.895	-0.035	0.038	-0.045
1.900	-0.036	0.038	-0.045
1.905	-0.035	0.038	-0.044
1.910	-0.035	0.039	-0.044
1.915	-0.035	0.039	-0.044
1.920	-0.034	0.039	-0.044
1.925	-0.034	0.040	-0.043
1.930	-0.034	0.040	-0.043
1.935	-0.033	0.040	-0.043
1.940	-0.033	0.040	-0.043
1.945	-0.033	0.040	-0.043
1.950	-0.033	0.041	-0.042
1.955	-0.033	0.040	-0.042
1.960	-0.032	0.041	-0.042
1.965	-0.032	0.042	-0.042
1.970	-0.032	0.041	-0.041
1.975	-0.031	0.042	-0.041
1.980	-0.031	0.042	-0.040
1.985	-0.031	0.043	-0.040
1.990	-0.031	0.043	-0.040
1.995	-0.030	0.043	-0.040
2.000	-0.030	0.043	-0.041
2.005	-0.030	0.043	-0.039
2.010	-0.030	0.044	-0.040
2.015	-0.029	0.044	-0.039
2.020	-0.030	0.044	-0.039
2.025	-0.029	0.044	-0.039
2.030	-0.029	0.044	-0.038
2.035	-0.029	0.045	-0.039
2.040	-0.029	0.045	-0.038
2.045	-0.029	0.045	-0.038
2.050	-0.028	0.045	-0.037
2.055	-0.028	0.045	-0.037
2.060	-0.028	0.046	-0.037
2.065	-0.027	0.046	-0.037
2.070	-0.027	0.046	-0.037
2.075	-0.027	0.047	-0.037
2.080	-0.027	0.047	-0.037
2.085	-0.027	0.047	-0.036
2.090	-0.027	0.047	-0.036
2.095	-0.026	0.047	-0.036
2.100	-0.026	0.047	-0.036
2.105	-0.025	0.047	-0.036
2.110	-0.025	0.048	-0.036
2.115	-0.026	0.048	-0.036
2.120	-0.025	0.048	-0.035
2.125	-0.025	0.048	-0.035
2.130	-0.025	0.048	-0.035
