# cmd=test_unit args=NULL Mricom v0.1
# timestamp=2020-06-21 19:12:15.918585
TIME	RESP	PULSOX	ECG
47.60500	-0.00046	0.07248	-0.01053
47.61000	-0.00046	0.07248	-0.01083
47.61500	-0.00046	0.07248	-0.01053
47.62000	-0.00046	0.07187	-0.01053
47.62500	-0.00076	0.07248	-0.01053
47.63000	-0.00076	0.07248	-0.01022
47.63500	-0.00076	0.07248	-0.01083
47.64000	-0.00046	0.07248	-0.01053
47.64500	-0.00076	0.07279	-0.01053
47.65000	-0.00046	0.07248	-0.01083
47.65500	-0.00015	0.07279	-0.01053
47.66000	-0.00107	0.07218	-0.01053
47.66500	-0.00076	0.07279	-0.01053
47.67000	-0.00076	0.07218	-0.01022
47.67500	-0.00107	0.07248	-0.01083
47.68000	-0.00076	0.07279	-0.01053
47.68500	-0.00046	0.07248	-0.01083
47.69000	-0.00076	0.07248	-0.01083
47.69500	-0.00046	0.07248	-0.01022
47.70000	-0.00107	0.07248	-0.01022
47.70500	-0.00076	0.07218	-0.01053
47.71000	-0.00076	0.07248	-0.01083
47.71500	-0.00076	0.07218	-0.01114
47.72000	-0.00046	0.07248	-0.01083
47.72500	-0.00076	0.07218	-0.01053
47.73000	-0.00076	0.07248	-0.01083
47.73500	-0.00107	0.07279	-0.01053
47.74000	-0.00107	0.07279	-0.01053
47.74500	-0.00076	0.07279	-0.01053
47.75000	-0.00046	0.07218	-0.01083
47.75500	-0.00107	0.07248	-0.01053
47.76000	-0.00107	0.07248	-0.01053
47.76500	-0.00076	0.07279	-0.01053
47.77000	-0.00046	0.07248	-0.01022
47.77500	-0.00107	0.07279	-0.01083
47.78000	-0.00015	0.07248	-0.01053
47.78500	-0.00076	0.07279	-0.01083
47.79000	-0.00046	0.07279	-0.01083
47.79500	-0.00046	0.07279	-0.01083
47.80000	-0.00076	0.07218	-0.01053
47.80500	-0.00046	0.07248	-0.01022
47.81000	-0.00046	0.07248	-0.01053
47.81500	-0.00107	0.07279	-0.01022
47.82000	-0.00076	0.07248	-0.01053
47.82500	-0.00107	0.07248	-0.01053
47.83000	-0.00046	0.07218	-0.01083
47.83500	-0.00107	0.07309	-0.01083
47.84000	-0.00076	0.07279	-0.01053
47.84500	-0.00046	0.07248	-0.01022
47.85000	-0.00046	0.07218	-0.01053
47.85500	-0.00076	0.07248	-0.01114
47.86000	-0.00076	0.07248	-0.01053
47.86500	-0.00107	0.07279	-0.01053
47.87000	-0.00046	0.07279	-0.01114
47.87500	-0.00076	0.07279	-0.01053
47.88000	-0.00076	0.07248	-0.01053
47.88500	-0.00046	0.07279	-0.01053
47.89000	-0.00107	0.07218	-0.01053
47.89500	-0.00076	0.07279	-0.01022
47.90000	-0.00076	0.07248	-0.01053
47.90500	-0.00046	0.07279	-0.01053
47.91000	-0.00107	0.07309	-0.01083
47.91500	-0.00046	0.07279	-0.01053
47.92000	-0.00107	0.07248	-0.01022
47.92500	-0.00046	0.07218	-0.01053
47.93000	-0.00076	0.07279	-0.01083
47.93500	-0.00076	0.07248	-0.01022
47.94000	-0.00107	0.07248	-0.01114
47.94500	-0.00107	0.07248	-0.01053
47.95000	-0.00046	0.07279	-0.01053
47.95500	-0.00046	0.07279	-0.01053
47.96000	-0.00137	0.07248	-0.01083
47.96500	-0.00046	0.07248	-0.01022
47.97000	-0.00015	0.07248	-0.01022
47.97500	-0.00076	0.07248	-0.01053
47.98000	-0.00046	0.07218	-0.01053
47.98500	-0.00076	0.07248	-0.01083
47.99000	-0.00046	0.07218	-0.01083
47.99500	-0.00107	0.07248	-0.01083
48.00000	-0.00107	0.07279	-0.01053
48.00500	-0.00015	0.07248	-0.01083
48.01000	-0.00046	0.07248	-0.01083
48.01500	-0.00046	0.07248	-0.01053
48.02000	-0.00107	0.07279	-0.01053
48.02500	-0.00046	0.07248	-0.01053
48.03000	-0.00046	0.07248	-0.01022
48.03500	-0.00076	0.07218	-0.01114
48.04000	-0.00046	0.07248	-0.01053
48.04500	-0.00046	0.07279	-0.01053
48.05000	-0.00076	0.07248	-0.01053
48.05500	-0.00076	0.07248	-0.01053
48.06000	-0.00076	0.07248	-0.01022
48.06500	-0.00076	0.07218	-0.01053
