# cmd=./analogdaq args=NULL Mricom v0.1
# timestamp=2020-05-06 21:04:09.509078
TIME	PULSOX	ECG	TEMP
2.550	-0.002	0.072	-0.012
2.555	-0.003	0.072	-0.011
2.560	-0.003	0.071	-0.011
2.565	-0.003	0.072	-0.011
2.570	-0.003	0.071	-0.011
2.575	-0.002	0.072	-0.011
2.580	-0.003	0.071	-0.012
2.585	-0.003	0.071	-0.011
2.590	-0.002	0.072	-0.011
2.595	-0.002	0.072	-0.011
2.600	-0.002	0.072	-0.011
2.605	-0.003	0.071	-0.011
2.610	-0.003	0.072	-0.011
2.615	-0.002	0.071	-0.012
2.620	-0.003	0.072	-0.012
2.625	-0.002	0.071	-0.011
2.630	-0.003	0.071	-0.011
2.635	-0.003	0.072	-0.012
2.640	-0.003	0.072	-0.011
2.645	-0.003	0.071	-0.011
2.650	-0.003	0.071	-0.012
2.655	-0.003	0.072	-0.011
2.660	-0.003	0.071	-0.011
2.665	-0.003	0.071	-0.012
2.670	-0.003	0.072	-0.011
2.675	-0.003	0.071	-0.012
2.680	-0.003	0.072	-0.011
2.685	-0.003	0.071	-0.012
2.690	-0.003	0.071	-0.012
2.695	-0.003	0.071	-0.011
2.700	-0.003	0.071	-0.012
2.705	-0.003	0.072	-0.012
2.710	-0.002	0.071	-0.012
2.715	-0.003	0.072	-0.012
2.720	-0.003	0.071	-0.012
2.725	-0.003	0.071	-0.011
2.730	-0.003	0.072	-0.011
2.735	-0.003	0.071	-0.011
2.740	-0.003	0.071	-0.012
2.745	-0.003	0.071	-0.012
2.750	-0.002	0.072	-0.012
2.755	-0.003	0.072	-0.011
2.760	-0.003	0.071	-0.012
2.765	-0.003	0.071	-0.012
2.770	-0.003	0.071	-0.012
2.775	-0.003	0.071	-0.012
2.780	-0.003	0.071	-0.012
2.785	-0.003	0.071	-0.012
2.790	-0.003	0.071	-0.011
2.795	-0.003	0.071	-0.012
2.800	-0.003	0.071	-0.012
2.805	-0.004	0.071	-0.012
2.810	-0.003	0.071	-0.012
2.815	-0.003	0.071	-0.012
2.820	-0.003	0.071	-0.012
2.825	-0.003	0.070	-0.012
2.830	-0.003	0.071	-0.012
2.835	-0.003	0.071	-0.012
2.840	-0.003	0.071	-0.012
2.845	-0.003	0.071	-0.012
2.850	-0.003	0.071	-0.012
2.855	-0.003	0.071	-0.012
2.860	-0.003	0.071	-0.012
2.865	-0.003	0.071	-0.012
2.870	-0.003	0.071	-0.013
2.875	-0.003	0.071	-0.012
2.880	-0.004	0.071	-0.012
2.885	-0.004	0.071	-0.012
2.890	-0.003	0.071	-0.012
2.895	-0.003	0.071	-0.012
2.900	-0.003	0.071	-0.013
2.905	-0.003	0.071	-0.012
2.910	-0.003	0.071	-0.012
2.915	-0.003	0.071	-0.012
2.920	-0.004	0.070	-0.013
2.925	-0.003	0.071	-0.012
2.930	-0.003	0.071	-0.013
2.935	-0.003	0.070	-0.012
2.940	-0.003	0.070	-0.012
2.945	-0.003	0.071	-0.013
2.950	-0.004	0.071	-0.012
2.955	-0.003	0.071	-0.012
2.960	-0.003	0.071	-0.012
2.965	-0.004	0.070	-0.012
2.970	-0.003	0.070	-0.012
2.975	-0.004	0.071	-0.012
2.980	-0.004	0.070	-0.013
2.985	-0.004	0.070	-0.012
2.990	-0.004	0.071	-0.012
2.995	-0.004	0.071	-0.012
3.000	-0.004	0.070	-0.012
3.005	-0.004	0.070	-0.012
3.010	-0.003	0.071	-0.013
3.015	-0.004	0.070	-0.012
3.020	-0.003	0.070	-0.012
3.025	-0.004	0.070	-0.013
3.030	-0.003	0.071	-0.013
3.035	-0.004	0.070	-0.013
3.040	-0.003	0.070	-0.012
3.045	-0.004	0.070	-0.013
3.050	-0.004	0.071	-0.012
3.055	-0.004	0.070	-0.013
3.060	-0.004	0.070	-0.013
3.065	-0.004	0.070	-0.013
3.070	-0.004	0.070	-0.012
3.075	-0.004	0.071	-0.013
3.080	-0.004	0.070	-0.013
3.085	-0.004	0.070	-0.013
3.090	-0.004	0.071	-0.013
3.095	-0.004	0.070	-0.013
3.100	-0.004	0.070	-0.012
3.105	-0.004	0.070	-0.013
3.110	-0.004	0.070	-0.012
3.115	-0.004	0.070	-0.013
3.120	-0.004	0.070	-0.013
3.125	-0.004	0.070	-0.013
3.130	-0.004	0.070	-0.013
3.135	-0.004	0.070	-0.012
3.140	-0.004	0.070	-0.013
3.145	-0.004	0.070	-0.013
3.150	-0.004	0.070	-0.013
3.155	-0.004	0.070	-0.013
3.160	-0.004	0.070	-0.013
3.165	-0.004	0.070	-0.013
3.170	-0.004	0.070	-0.013
3.175	-0.004	0.070	-0.013
3.180	-0.004	0.070	-0.013
3.185	-0.004	0.070	-0.013
3.190	-0.004	0.070	-0.013
3.195	-0.004	0.070	-0.013
3.200	-0.004	0.070	-0.012
3.205	-0.004	0.069	-0.013
3.210	-0.004	0.070	-0.013
3.215	-0.004	0.070	-0.013
3.220	-0.004	0.069	-0.014
3.225	-0.004	0.070	-0.013
3.230	-0.004	0.069	-0.013
3.235	-0.004	0.070	-0.013
3.240	-0.004	0.070	-0.013
3.245	-0.004	0.070	-0.013
3.250	-0.004	0.069	-0.013
3.255	-0.004	0.070	-0.013
3.260	-0.004	0.070	-0.013
3.265	-0.004	0.071	-0.013
3.270	-0.004	0.070	-0.013
3.275	-0.004	0.070	-0.014
3.280	-0.004	0.070	-0.013
3.285	-0.004	0.069	-0.013
3.290	-0.004	0.070	-0.013
3.295	-0.004	0.070	-0.013
3.300	-0.004	0.069	-0.013
3.305	-0.004	0.070	-0.013
3.310	-0.004	0.069	-0.014
3.315	-0.004	0.070	-0.013
3.320	-0.004	0.069	-0.013
3.325	-0.004	0.070	-0.013
3.330	-0.004	0.069	-0.014
3.335	-0.004	0.070	-0.014
3.340	-0.004	0.069	-0.014
3.345	-0.004	0.069	-0.014
3.350	-0.004	0.070	-0.013
3.355	-0.004	0.070	-0.013
3.360	-0.004	0.069	-0.013
3.365	-0.004	0.069	-0.013
3.370	-0.004	0.070	-0.013
3.375	-0.004	0.070	-0.013
3.380	-0.004	0.069	-0.014
3.385	-0.004	0.070	-0.013
3.390	-0.004	0.069	-0.013
3.395	-0.004	0.070	-0.013
3.400	-0.005	0.069	-0.014
3.405	-0.004	0.069	-0.013
3.410	-0.004	0.069	-0.014
3.415	-0.004	0.070	-0.014
3.420	-0.005	0.070	-0.014
3.425	-0.005	0.069	-0.014
3.430	-0.004	0.070	-0.013
3.435	-0.004	0.069	-0.014
3.440	-0.004	0.069	-0.014
3.445	-0.005	0.069	-0.014
3.450	-0.004	0.070	-0.013
3.455	-0.004	0.069	-0.013
3.460	-0.005	0.070	-0.014
3.465	-0.004	0.069	-0.014
3.470	-0.005	0.069	-0.014
3.475	-0.004	0.069	-0.014
3.480	-0.004	0.069	-0.014
3.485	-0.005	0.069	-0.014
3.490	-0.004	0.069	-0.014
3.495	-0.004	0.070	-0.013
3.500	-0.004	0.069	-0.014
3.505	-0.005	0.069	-0.014
3.510	-0.004	0.069	-0.014
3.515	-0.004	0.069	-0.013
3.520	-0.005	0.069	-0.014
3.525	-0.005	0.069	-0.014
3.530	-0.005	0.069	-0.014
3.535	-0.005	0.069	-0.013
3.540	-0.005	0.069	-0.014
3.545	-0.004	0.069	-0.014
3.550	-0.004	0.069	-0.014
3.555	-0.004	0.070	-0.014
3.560	-0.005	0.069	-0.014
3.565	-0.005	0.068	-0.014
3.570	-0.004	0.069	-0.014
3.575	-0.004	0.069	-0.014
3.580	-0.005	0.069	-0.014
3.585	-0.004	0.069	-0.014
3.590	-0.005	0.069	-0.014
3.595	-0.004	0.069	-0.013
3.600	-0.005	0.069	-0.014
3.605	-0.005	0.069	-0.014
3.610	-0.005	0.069	-0.014
3.615	-0.004	0.069	-0.014
3.620	-0.005	0.069	-0.014
3.625	-0.004	0.069	-0.014
3.630	-0.005	0.069	-0.014
3.635	-0.005	0.069	-0.014
3.640	-0.005	0.069	-0.014
3.645	-0.005	0.069	-0.014
3.650	-0.005	0.069	-0.014
3.655	-0.005	0.069	-0.014
3.660	-0.005	0.069	-0.014
3.665	-0.005	0.069	-0.014
3.670	-0.005	0.069	-0.014
3.675	-0.005	0.069	-0.014
3.680	-0.005	0.069	-0.014
3.685	-0.005	0.069	-0.014
3.690	-0.005	0.069	-0.014
3.695	-0.005	0.069	-0.014
3.700	-0.005	0.069	-0.014
3.705	-0.005	0.069	-0.014
3.710	-0.004	0.069	-0.014
3.715	-0.005	0.069	-0.014
3.720	-0.005	0.069	-0.014
3.725	-0.005	0.069	-0.014
3.730	-0.004	0.069	-0.014
3.735	-0.005	0.069	-0.014
3.740	-0.005	0.069	-0.014
3.745	-0.005	0.069	-0.014
3.750	-0.005	0.069	-0.014
3.755	-0.004	0.069	-0.014
3.760	-0.005	0.069	-0.014
3.765	-0.005	0.069	-0.014
3.770	-0.005	0.069	-0.014
3.775	-0.005	0.069	-0.014
3.780	-0.005	0.069	-0.014
3.785	-0.005	0.069	-0.014
3.790	-0.005	0.069	-0.014
3.795	-0.005	0.069	-0.014
3.800	-0.005	0.069	-0.014
3.805	-0.005	0.069	-0.014
3.810	-0.005	0.069	-0.014
3.815	-0.005	0.069	-0.014
3.820	-0.005	0.069	-0.014
3.825	-0.005	0.069	-0.014
