# cmd=/home/david/dev/mricom/bin/analogdaq args=NULL Mricom v0.1
# timestamp=2020-08-06 17:01:58.823237
TIME	RESP	PULSOX	ECG
2.05000	0.10208	0.17563	0.09262
2.06000	0.10117	0.17441	0.09171
2.07000	0.10056	0.17350	0.09079
2.08000	0.09934	0.17258	0.09018
2.09000	0.09873	0.17227	0.08927
2.10000	0.09812	0.17105	0.08865
2.11000	0.09720	0.17014	0.08713
2.12000	0.09598	0.16983	0.08652
2.13000	0.09537	0.16861	0.08621
2.14000	0.09445	0.16770	0.08560
2.15000	0.09323	0.16709	0.08438
2.16000	0.09262	0.16587	0.08347
2.17000	0.09171	0.16526	0.08225
2.18000	0.09140	0.16403	0.08164
2.19000	0.08988	0.16373	0.08133
2.20000	0.08957	0.16251	0.08042
2.21000	0.08865	0.16220	0.07950
2.22000	0.08774	0.16129	0.07858
2.23000	0.08713	0.16068	0.07767
2.24000	0.08621	0.16007	0.07736
2.25000	0.08560	0.15854	0.07706
2.26000	0.08469	0.15824	0.07553
2.27000	0.08377	0.15763	0.07492
2.28000	0.08316	0.15671	0.07431
2.29000	0.08194	0.15610	0.07340
2.30000	0.08164	0.15518	0.07279
2.31000	0.08133	0.15488	0.07187
2.32000	0.08072	0.15366	0.07126
2.33000	0.07950	0.15305	0.07065
2.34000	0.07889	0.15244	0.06973
2.35000	0.07858	0.15152	0.06912
2.36000	0.07797	0.15091	0.06851
2.37000	0.07675	0.15000	0.06729
2.38000	0.07614	0.14939	0.06729
2.39000	0.07584	0.14878	0.06638
2.40000	0.07431	0.14817	0.06607
2.41000	0.07401	0.14755	0.06455
2.42000	0.07340	0.14694	0.06455
2.43000	0.07279	0.14664	0.06424
2.44000	0.07218	0.14572	0.06271
2.45000	0.07065	0.14450	0.06271
2.46000	0.07065	0.14420	0.06210
2.47000	0.07004	0.14298	0.06149
2.48000	0.06943	0.14298	0.06088
2.49000	0.06851	0.14206	0.06027
2.50000	0.06851	0.14206	0.05936
2.51000	0.06790	0.14084	0.05905
2.52000	0.06729	0.14054	0.05814
2.53000	0.06638	0.13993	0.05753
2.54000	0.06577	0.13931	0.05692
2.55000	0.06516	0.13901	0.05631
2.56000	0.06455	0.13840	0.05600
2.57000	0.06332	0.13748	0.05539
2.58000	0.06302	0.13687	0.05447
2.59000	0.06241	0.13626	0.05386
2.60000	0.06210	0.13596	0.05356
2.61000	0.06149	0.13504	0.05295
2.62000	0.06088	0.13474	0.05203
2.63000	0.06058	0.13382	0.05142
2.64000	0.05997	0.13352	0.05142
2.65000	0.05936	0.13321	0.05051
2.66000	0.05844	0.13230	0.05020
2.67000	0.05814	0.13169	0.04959
2.68000	0.05814	0.13107	0.04929
2.69000	0.05692	0.13046	0.04807
2.70000	0.05661	0.13016	0.04746
2.71000	0.05600	0.12985	0.04746
2.72000	0.05570	0.12863	0.04685
2.73000	0.05447	0.12894	0.04623
2.74000	0.05447	0.12802	0.04562
2.75000	0.05356	0.12772	0.04501
2.76000	0.05386	0.12741	0.04471
2.77000	0.05295	0.12650	0.04379
2.78000	0.05234	0.12619	0.04349
2.79000	0.05173	0.12528	0.04318
2.80000	0.05081	0.12497	0.04288
2.81000	0.05112	0.12467	0.04227
2.82000	0.05051	0.12436	0.04166
2.83000	0.04959	0.12345	0.04135
2.84000	0.04929	0.12345	0.04074
2.85000	0.04898	0.12253	0.03983
2.86000	0.04868	0.12192	0.03983
2.87000	0.04807	0.12131	0.03922
2.88000	0.04746	0.12131	0.03922
2.89000	0.04746	0.12131	0.03830
2.90000	0.04654	0.12039	0.03799
2.91000	0.04654	0.12009	0.03769
2.92000	0.04654	0.11948	0.03769
2.93000	0.04532	0.11887	0.03647
2.94000	0.04501	0.11887	0.03647
2.95000	0.04440	0.11826	0.03616
2.96000	0.04440	0.11765	0.03586
2.97000	0.04379	0.11765	0.03525
2.98000	0.04318	0.11704	0.03433
2.99000	0.04257	0.11673	0.03433
3.00000	0.04227	0.11612	0.03342
3.01000	0.04166	0.11582	0.03372
3.02000	0.04135	0.11521	0.03281
3.03000	0.04105	0.11551	0.03250
3.04000	0.04044	0.11429	0.03250
3.05000	0.04013	0.11429	0.03189
3.06000	0.04013	0.11337	0.03159
3.07000	0.03922	0.11337	0.03098
3.08000	0.03922	0.11307	0.03067
3.09000	0.03891	0.11246	0.03037
3.10000	0.03891	0.11185	0.03006
3.11000	0.03830	0.11154	0.02976
3.12000	0.03769	0.11124	0.02945
3.13000	0.03738	0.11093	0.02884
3.14000	0.03708	0.11063	0.02792
3.15000	0.03616	0.10971	0.02762
3.16000	0.03616	0.10971	0.02762
3.17000	0.03555	0.10971	0.02731
3.18000	0.03525	0.10941	0.02731
3.19000	0.03494	0.10880	0.02670
3.20000	0.03494	0.10819	0.02640
3.21000	0.03433	0.10788	0.02579
3.22000	0.03403	0.10788	0.02518
3.23000	0.03342	0.10758	0.02487
3.24000	0.03311	0.10697	0.02457
3.25000	0.03342	0.10666	0.02457
3.26000	0.03220	0.10636	0.02426
3.27000	0.03220	0.10575	0.02396
3.28000	0.03250	0.10544	0.02335
3.29000	0.03159	0.10513	0.02335
3.30000	0.03098	0.10483	0.02274
3.31000	0.03098	0.10483	0.02243
3.32000	0.03067	0.10452	0.02182
3.33000	0.03037	0.10361	0.02152
3.34000	0.02976	0.10391	0.02152
3.35000	0.02945	0.10361	0.02060
3.36000	0.02945	0.10269	0.02060
3.37000	0.02884	0.10269	0.02060
3.38000	0.02884	0.10239	0.01999
3.39000	0.02823	0.10239	0.01999
3.40000	0.02792	0.10147	0.01968
3.41000	0.02762	0.10147	0.01907
3.42000	0.02762	0.10056	0.01877
3.43000	0.02670	0.10086	0.01877
3.44000	0.02670	0.10086	0.01846
3.45000	0.02640	0.09995	0.01785
3.46000	0.02579	0.09964	0.01785
3.47000	0.02579	0.09934	0.01724
3.48000	0.02548	0.09934	0.01724
3.49000	0.02548	0.09903	0.01724
3.50000	0.02518	0.09934	0.01633
3.51000	0.02518	0.09873	0.01663
3.52000	0.02426	0.09812	0.01572
3.53000	0.02426	0.09781	0.01572
3.54000	0.02396	0.09751	0.01602
3.55000	0.02365	0.09751	0.01541
3.56000	0.02304	0.09689	0.01511
3.57000	0.02335	0.09689	0.01480
3.58000	0.02304	0.09628	0.01450
3.59000	0.02243	0.09598	0.01389
3.60000	0.02274	0.09628	0.01419
3.61000	0.02182	0.09598	0.01389
3.62000	0.02152	0.09567	0.01358
3.63000	0.02182	0.09567	0.01328
3.64000	0.02121	0.09476	0.01297
3.65000	0.02121	0.09476	0.01266
3.66000	0.02060	0.09445	0.01205
3.67000	0.02029	0.09445	0.01205
3.68000	0.02060	0.09415	0.01175
3.69000	0.02029	0.09384	0.01175
3.70000	0.01968	0.09415	0.01114
3.71000	0.01968	0.09323	0.01114
3.72000	0.01938	0.09323	0.01083
3.73000	0.01907	0.09323	0.01053
3.74000	0.01846	0.09293	0.01022
3.75000	0.01877	0.09232	0.00992
3.76000	0.01816	0.09201	0.00961
3.77000	0.01785	0.09201	0.00931
3.78000	0.01785	0.09171	0.00961
3.79000	0.01724	0.09140	0.00900
3.80000	0.01755	0.09201	0.00900
3.81000	0.01755	0.09110	0.00900
3.82000	0.01694	0.09079	0.00870
3.83000	0.01663	0.09049	0.00809
3.84000	0.01633	0.09049	0.00839
3.85000	0.01633	0.08988	0.00809
3.86000	0.01602	0.08988	0.00839
3.87000	0.01541	0.08988	0.00717
3.88000	0.01602	0.08988	0.00748
3.89000	0.01511	0.08927	0.00687
3.90000	0.01511	0.08957	0.00687
3.91000	0.01480	0.08865	0.00687
3.92000	0.01511	0.08865	0.00687
3.93000	0.01450	0.08835	0.00656
3.94000	0.01419	0.08865	0.00626
3.95000	0.01450	0.08804	0.00565
3.96000	0.01419	0.08774	0.00534
3.97000	0.01358	0.08835	0.00534
3.98000	0.01389	0.08743	0.00534
3.99000	0.01328	0.08774	0.00473
4.00000	0.01328	0.08713	0.00504
4.01000	0.01266	0.08713	0.00473
4.02000	0.01266	0.08652	0.00473
4.03000	0.01266	0.08621	0.00443
4.04000	0.01266	0.08652	0.00381
4.05000	0.01266	0.08621	0.00412
4.06000	0.01236	0.08621	0.00443
4.07000	0.01175	0.08621	0.00320
4.08000	0.01175	0.08591	0.00351
4.09000	0.01175	0.08530	0.00351
4.10000	0.01144	0.08499	0.00290
4.11000	0.01114	0.08499	0.00290
4.12000	0.01114	0.08499	0.00229
4.13000	0.01083	0.08499	0.00259
4.14000	0.01083	0.08499	0.00229
4.15000	0.01053	0.08438	0.00259
4.16000	0.01022	0.08377	0.00229
4.17000	0.01022	0.08438	0.00198
4.18000	0.01053	0.08408	0.00168
4.19000	0.00961	0.08347	0.00168
4.20000	0.00961	0.08377	0.00168
4.21000	0.00961	0.08316	0.00137
4.22000	0.00931	0.08347	0.00046
4.23000	0.00900	0.08316	0.00137
4.24000	0.00900	0.08316	0.00137
4.25000	0.00900	0.08286	0.00046
4.26000	0.00839	0.08286	0.00046
4.27000	0.00839	0.08255	0.00015
4.28000	0.00839	0.08194	0.00015
4.29000	0.00809	0.08255	-0.00015
4.30000	0.00809	0.08255	-0.00015
4.31000	0.00809	0.08164	-0.00015
4.32000	0.00748	0.08194	-0.00015
4.33000	0.00748	0.08133	-0.00076
4.34000	0.00717	0.08133	-0.00015
4.35000	0.00717	0.08133	-0.00107
4.36000	0.00717	0.08133	-0.00076
4.37000	0.00717	0.08103	-0.00107
4.38000	0.00687	0.08042	-0.00107
4.39000	0.00687	0.08103	-0.00137
4.40000	0.00687	0.08072	-0.00137
4.41000	0.00656	0.08011	-0.00137
4.42000	0.00656	0.08011	-0.00198
4.43000	0.00626	0.08042	-0.00198
4.44000	0.00656	0.08011	-0.00198
4.45000	0.00565	0.08011	-0.00198
4.46000	0.00565	0.07980	-0.00229
4.47000	0.00565	0.07950	-0.00229
4.48000	0.00534	0.07980	-0.00198
4.49000	0.00565	0.07950	-0.00290
4.50000	0.00534	0.07919	-0.00290
4.51000	0.00504	0.07919	-0.00290
4.52000	0.00504	0.07889	-0.00259
4.53000	0.00473	0.07858	-0.00290
4.54000	0.00443	0.07919	-0.00259
4.55000	0.00473	0.07858	-0.00320
4.56000	0.00412	0.07828	-0.00351
4.57000	0.00443	0.07858	-0.00320
4.58000	0.00412	0.07858	-0.00351
4.59000	0.00381	0.07797	-0.00381
4.60000	0.00412	0.07767	-0.00412
4.61000	0.00412	0.07797	-0.00412
4.62000	0.00351	0.07767	-0.00443
4.63000	0.00412	0.07767	-0.00443
4.64000	0.00351	0.07767	-0.00504
4.65000	0.00351	0.07767	-0.00443
4.66000	0.00290	0.07767	-0.00473
4.67000	0.00320	0.07706	-0.00443
4.68000	0.00290	0.07736	-0.00565
4.69000	0.00290	0.07706	-0.00534
4.70000	0.00290	0.07645	-0.00504
